year,date,median,low,high
2020,2020-09-08,9,0,38.080670612976874
2020,2020-10-24,8,0,58.28478189387511
2019,2020-04-20,15,0,104.11472993892313
2019,2020-09-15,12,0,122.98975069711258
2019,2020-12-28,16,0,110.44414290038287
2020,2020-03-21,2,0,21.657831419317674
2019,2020-01-13,10,0,66.89783637673014
2019,2020-06-13,16,0,74.40986402585754
2019,2020-08-06,16,0,64.50499618382301
2019,2020-11-22,17,0,77.9042147516019
2020,2020-05-04,2,0,23.258117547987702
2019,2020-01-08,30,0,132.75388125824122
2020,2020-05-22,4,0,28.159482929157612
2020,2020-08-01,6,0,44.20753373455362
2020,2020-09-03,8,0,39.791864574649914
2020,2020-09-12,8,0,54.67835587723808
2019,2020-02-12,15,0,56.82189566030765
2019,2020-07-09,18,0,110.39108443806336
2020,2020-05-18,3,0,36.049248114280545
2020,2020-07-11,6,0,47.297391495733464
2020,2020-08-07,7,0,42.95974409145218
2019,2020-09-10,17,0,111.36340921574944
2020,2020-08-29,7,0,47.83077309657452
2020,2020-01-18,13,0,75.08359951087118
2019,2020-07-07,10,0,65.83332354315667
2019,2020-09-21,14,0,83.74126041214772
2020,2020-04-05,1,0,20.620357008517704
2020,2020-07-05,5,0,33.84910181845789
2020,2020-10-23,10,0,47.01054869026009
2020,2020-09-20,5,0,41.894211818596574
2020,2020-09-25,10,0,49.01394092604748
2020,2020-10-15,9,0,40.894442309308985
2019,2020-10-05,14,0,115.89491193997686
2019,2020-07-31,16,0,63.013939539546364
2020,2020-08-28,7,0,35.89090427735506
2020,2020-04-26,1,0,20.091869299034556
2020,2020-06-15,4,0,31.871524148171574
2020,2020-11-07,7,0,52.53036924169554
2019,2020-04-29,17,0,172.3666989205043
2019,2020-07-26,18,0,79.29945117029649
2019,2020-09-07,19,0,130.5859657423207
2019,2020-05-24,19,0,77.61089707738898
2019,2020-07-19,17,0,87.90676880093604
2019,2020-03-20,20,0,65.26367366015134
2019,2020-06-29,17,0,95.4159767054015
2019,2020-07-12,19,0,97.40792441456026
2019,2020-09-02,11,0,134.82057273917698
2020,2020-08-19,7,0,38.71021514562298
2020,2020-09-06,5,0,35.2399872542292
2020,2020-10-28,7,0,39.028592910539174
2020,2020-06-23,7,0,34.4506756911658
2019,2020-04-15,19,0,72.8636055970633
2019,2020-11-05,16,0,64.56332859962896
2020,2020-01-07,21,0,73.37267901398636
2020,2020-02-24,16,0,68.60077126434685
2020,2020-03-05,15,0,68.93545250096423
2019,2020-06-26,20,0,84.11636328172148
2019,2020-11-30,14,0,119.43619590691941
2020,2020-02-10,17,0,81.45912879002566
