year,date,median,low,high
2019,2020-04-20,2.0,0,16.74065252715333
2019,2020-12-28,2.0,0,18.322601299248902
2020,2020-03-21,0.0,0,3.3731332971639443
2019,2020-01-13,2.0,0,14.729899029873394
2019,2020-09-15,2.0,0,15.454878879915663
2020,2020-10-24,1.0,0,6.991510695284949
2020,2020-09-08,1.0,0,6.684230977175567
2019,2020-04-06,3.0,0,19.998805236576192
2019,2020-12-06,3.0,0,20.750228198258668
2019,2020-01-16,2.0,0,137.89995587426978
2019,2020-05-30,3.0,0,18.816839769636086
2019,2020-12-24,2.0,0,15.28865480187454
2020,2020-03-08,1.0,0,11.065563014657714
2019,2020-01-07,4.0,0,32.65358835705822
2019,2020-06-07,3.0,0,18.868959086986525
2020,2020-07-15,1.0,0,5.923118851692032
2020,2020-09-05,1.0,0,7.103407257293752
2020,2020-11-19,1.0,0,5.912592702481169
2019,2020-02-17,2.0,0,14.447620940920578
2019,2020-08-09,3.0,0,17.64073584551251
2019,2020-03-26,3.0,0,18.007689392573383
2019,2020-05-10,3.0,0,20.08623128024152
2019,2020-10-07,2.0,0,15.111308728713365
2020,2020-07-13,1.0,0,6.263855967341036
2020,2020-11-11,1.0,0,6.0759680205767825
2020,2020-08-12,1.0,0,5.6828515432271045
2019,2020-07-07,1.0,0,11.644435932620965
2019,2020-09-21,2.0,0,19.851217264897155
2020,2020-04-05,0.0,0,2.99156268952678
2020,2020-07-05,1.0,0,5.263855934966957
2020,2020-10-23,1.0,0,8.01653623615524
2019,2020-02-08,3.0,0,92.59888061882326
2019,2020-04-27,2.0,0,18.254938179857852
2020,2020-01-21,2.0,0,13.89123123685199
2019,2020-09-13,3.0,0,22.76631436466684
2019,2020-12-05,2.0,0,18.626622040761305
2020,2020-03-12,2.0,0,11.451174776003878
2019,2020-07-29,2.0,0,14.723639177091087
2020,2020-07-17,1.0,0,6.231833515344166
2019,2020-03-13,3.0,0,18.2133842801669
2019,2020-04-12,3.0,0,22.388787430533903
2019,2020-10-28,3.0,0,16.352071895128816
2019,2020-12-23,2.0,0,20.58140950427564
2019,2020-01-11,3.0,0,19.501377215790466
2019,2020-09-14,3.0,0,19.051227584955754
2019,2020-09-24,3.0,0,20.09419443311484
2020,2020-11-13,1.0,0,6.3118358837963635
2019,2020-03-24,2.0,0,15.064987425620103
2019,2020-05-14,3.0,0,18.920446935011206
2019,2020-06-22,2.0,0,17.933019343791408
2020,2020-02-17,2.0,0,13.011947936759041
2020,2020-04-18,0.0,0,3.095096634861629
2020,2020-05-25,1.0,0,5.003968964937811
2020,2020-11-04,1.0,0,7.184405622690334
2019,2020-03-01,3.0,0,16.75495464310186
2019,2020-03-11,3.0,0,19.001708151851243
2019,2020-05-15,3.0,0,20.24709518314659
2019,2020-08-21,2.0,0,15.692178972728174
2020,2020-07-30,1.0,0,6.483890780523817
2020,2020-10-08,1.0,0,5.845177073521181
2019,2020-04-29,2.5,0,18.456734982170513
2019,2020-07-26,3.0,0,17.06482336822802
2019,2020-09-07,2.0,0,17.761934844134068
2019,2020-05-24,3.0,0,19.182457788174307
2019,2020-07-19,2.0,0,16.927699198392972
2019,2020-05-02,3.0,0,19.399225903379243
2019,2020-05-31,3.0,0,20.102849648170707
2019,2020-07-17,3.0,0,16.98585776243796
2020,2020-06-09,1.0,0,6.143653515655241
2019,2020-08-28,2.0,0,14.41453465966415
2020,2020-03-18,1.0,0,6.537873151889399
2020,2020-04-30,0.0,0,3.2943485370133443
2020,2020-05-03,0.0,0,3.4358429727499646
