year,date,median,low,high
2019,2020-01-13,5,0,25.73420241916048
2019,2020-09-15,6,0,18.965103212969122
2019,2020-12-28,6,0,26.627704953779975
2020,2020-09-08,2,0,7.589915131277237
2020,2020-10-24,2,0,7.521533211621995
2019,2020-04-20,7,0,22.788661055331076
2020,2020-03-21,1,0,3.736933182278401
2019,2020-01-08,10,0,56.2738775502439
2019,2020-06-13,6,0,20.83931741243898
2019,2020-08-06,6,0,20.96162501276601
2019,2020-11-22,6,0,21.42816963642761
2020,2020-05-22,1,0,4.767359879332494
2020,2020-08-01,2,0,6.8611609389261305
2020,2020-09-03,2,0,7.117570859641018
2020,2020-09-12,2,0,7.831220809623413
2020,2020-05-04,1,0,4.061611406435361
2019,2020-02-12,5,0,21.190362104822217
2019,2020-07-09,6,0,20.96654356562322
2019,2020-09-10,7,0,24.576041100513358
2020,2020-05-18,1,0,4.4791720703198
2020,2020-07-11,1,0,5.108695047327141
2020,2020-08-07,2,0,7.12087697582569
2020,2020-08-29,2,0,6.190858342355476
2020,2020-01-18,6,0,21.387165670322958
2019,2020-07-07,5,0,17.239053593895733
2019,2020-09-21,8,0,25.814436214769923
2020,2020-04-05,0,0,2.220464352837968
2020,2020-07-05,1,0,4.2236480313627816
2020,2020-10-23,3,0,8.824261107851694
2019,2020-07-31,6,0,23.170981727740237
2019,2020-10-05,7,0,124.34476783162239
2020,2020-08-28,2,0,6.825524264694908
2020,2020-09-25,3,0,9.24173700908964
2020,2020-10-15,3,0,8.389689786765114
2020,2020-09-20,1,0,4.956564361110001
2020,2020-06-15,1,0,4.998940785461651
2020,2020-11-07,2,0,25.42371950098064
2020,2020-04-26,0,0,2.091308164469501
2019,2020-05-24,7,0,21.82284497240002
2019,2020-07-19,7,0,26.70461584911465
2019,2020-04-29,6,0,22.48358153160666
2019,2020-07-26,7,0,23.748105125118766
2019,2020-09-07,8,0,24.070139727286033
2019,2020-03-20,6,0,22.719961248917006
2019,2020-06-29,8,0,27.553489922770673
2019,2020-07-12,7,0,27.887485609356176
2020,2020-06-23,2,0,6.382913042991917
2020,2020-08-19,2,0,6.806253132257557
2020,2020-09-06,2,0,6.226722550269034
2020,2020-10-28,2,0,7.032168464366985
2019,2020-09-02,4,0,16.454359866911762
2020,2020-01-07,5,0,19.803824938807555
2020,2020-02-24,5,0,19.156654134068525
2019,2020-04-15,6,0,23.061930991115425
2019,2020-11-05,5,0,17.94718382572446
2020,2020-03-05,5,0,18.154956896467706
2019,2020-03-30,8,0,25.836864507671592
2019,2020-06-26,7,0,24.595696361289857
2019,2020-08-23,7,0,22.099203669622632
2019,2020-12-17,5,0,19.574893086791953
2020,2020-06-04,1,0,4.872762630192735
2019,2020-11-30,5,0,20.2055170880466
2020,2020-02-10,5,0,18.822461541805136
2019,2020-04-28,5,0,22.225740531792194
2019,2020-09-20,8,0,28.352437799050904
2019,2020-11-18,5,0,18.779802929547763
2020,2020-11-25,2,0,5.9765153010743
2020,2020-05-31,1,0,3.8530993272509626
2019,2020-02-11,5,0,23.577663295766428
2019,2020-08-27,6,0,20.371491172764436
2019,2020-05-19,5,0,19.142332304246803
2020,2020-09-16,2,0,7.186628445115862
2019,2020-03-31,5,0,19.16804127752986
2019,2020-04-03,7,0,24.2168215492604
2019,2020-08-08,6,0,21.724573036342456
2019,2020-10-16,6,0,21.070965296809167
2019,2020-10-24,7,0,22.99824024772809
2019,2020-11-17,5,0,15.346323577218485
2020,2020-02-27,6,0,27.42840802945523
2020,2020-06-24,2,0,6.648061702235559
2019,2020-08-16,7,0,25.5367459522602
2019,2020-08-19,5,0,18.00892657299292
2019,2020-09-27,7,0,22.997548464623133
2019,2020-12-18,6,0,23.023229308153812
2020,2020-02-22,6,0,19.08089790894627
2020,2020-02-23,5,0,14.969153875891493
2019,2020-02-24,4,0,14.654670417890383
2020,2020-01-13,5,0,23.88189865020186
2019,2020-05-27,4,0,18.170937221785607
2019,2020-11-02,6,0,19.345929432246727
2020,2020-02-21,6,0,20.402524557526704
2020,2020-05-01,1,0,3.9952535830055456
2020,2020-05-05,1,0,4.2205139072053015
2019,2020-05-16,8,0,26.471668212447366
2019,2020-07-05,6,0,21.224527443408743
2020,2020-03-23,1,0,4.145866874773031
2020,2020-07-28,2,0,6.7002137129940476
2020,2020-07-31,2,0,7.270976418508525
2020,2020-08-20,3,0,8.047713393086745
2020,2020-11-29,1,0,4.674011450754833
2020,2020-10-25,2,0,6.349627331534849
2020,2020-07-19,1,0,4.651974145969585
2019,2020-06-09,5,0,17.34102449559594
2019,2020-08-15,6,0,23.892248685021073
2019,2020-11-08,7,0,22.457608508527944
2020,2020-01-16,5,0,23.14370929039557
2019,2020-06-21,8,0,30.348714573689602
2019,2020-09-28,7,0,21.49043765811433
2019,2020-11-11,5,0,17.366761144887274
2019,2020-12-10,5,0,20.585885522145066
2020,2020-05-15,1,0,4.55253710086058
2020,2020-06-05,1,0,4.732093109617345
2020,2020-05-10,1,0,3.5026860278072554
2020,2020-09-30,2,0,7.166820225379723
2020,2020-11-03,2,0,19.178335116359683
2019,2020-07-04,4,0,18.376821838170137
2019,2020-09-04,7,0,24.30104712653973
2019,2020-02-13,6,0,22.54612363833512
2019,2020-04-23,6,0,26.69720353402543
2019,2020-10-14,5,0,17.446636515834932
2020,2020-07-21,2,0,6.738988249273872
2020,2020-05-28,1,0,4.444682756149094
2019,2020-05-17,9,0,30.27210634154765
2020,2020-02-13,5,0,19.066465825340988
2019,2020-01-19,6,0,26.696101118014717
2019,2020-09-17,6,0,24.68713311168263
2019,2020-10-19,8,0,24.039125031199102
2020,2020-04-09,1,0,3.6266431571017335
2020,2020-08-18,2,0,6.782860698405187
2019,2020-04-17,7,0,27.24387267779806
2019,2020-05-01,6,0,24.618505491353623
2020,2020-04-03,1,0,3.984974311922198
2019,2020-06-30,6,0,26.723239283978625
2019,2020-09-30,5,0,429.29434321936503
2019,2020-10-30,5,0,19.003474754986208
