year,date,median,low,high
2019,2020-04-20,7,0,31.61717274179234
2019,2020-12-28,7,0,24.679379538170192
2020,2020-03-21,1,0,5.489428821382391
2019,2020-09-15,7,0,22.119194603534837
2019,2020-01-13,5,0,20.89165662933946
2020,2020-09-08,3,0,9.702911629122625
2020,2020-10-24,3,0,10.423323567759887
2019,2020-11-03,5,0,17.013138961233544
2020,2020-06-28,2,0,7.926392322637429
2020,2020-07-03,2,0,9.011713123034536
2020,2020-10-04,2,0,7.724224120079246
2020,2020-07-12,2,0,8.399245043963688
2019,2020-03-28,8,0,26.807450298042127
2019,2020-06-13,7,0,22.01886481224041
2019,2020-08-06,7,0,22.537096233956177
2019,2020-11-22,7,0,21.640280049856532
2020,2020-05-04,1,0,5.755612103637693
2020,2020-08-01,3,0,10.589989451965911
2020,2020-09-03,3,0,10.065845877154565
2020,2020-09-12,3,0,10.512678016899486
2020,2020-05-22,2,0,7.834346782108247
2019,2020-01-08,12,0,46.5731367160237
2019,2020-05-03,9,0,27.596861260501992
2019,2020-06-19,8,0,25.55414052279947
2019,2020-12-14,7,0,23.782065786428237
2020,2020-06-07,1,0,6.289435153230513
2020,2020-07-23,3,0,9.722142616532942
2020,2020-10-20,3,0,9.372404338210691
2020,2020-11-06,3,0,10.031414805799228
2020,2020-11-01,2,0,7.370741174839671
2019,2020-09-10,8,0,26.61615462438172
2020,2020-08-07,3,0,10.264368302737338
2020,2020-08-29,2,0,8.259805164544844
2020,2020-05-18,2,0,7.086978739317243
2020,2020-07-11,2,0,8.693534931811687
2019,2020-02-12,6,0,25.547150688398542
2019,2020-07-09,7,0,23.560918750950723
2020,2020-01-18,6,0,19.02826505654697
2019,2020-08-09,8,0,23.716047821778265
2020,2020-07-13,3,0,9.866321047736056
2020,2020-08-12,3,0,9.490660846156882
2019,2020-02-17,6,0,25.029885239086255
2019,2020-03-26,7,0,23.55193106575067
2019,2020-05-10,10,0,28.712129837733624
2019,2020-10-07,6,0,20.942527452770975
2020,2020-11-11,3,0,8.854908114626772
2019,2020-07-07,5,0,19.255379972354348
2020,2020-07-05,2,0,7.754539313748243
2020,2020-10-23,4,0,11.27573768863186
2019,2020-09-21,8,0,24.89560075491595
2020,2020-04-05,1,0,4.416114985289299
2019,2020-02-08,8,0,39.312752062693455
2019,2020-04-27,8,0,34.588186106616405
2019,2020-07-29,6,0,20.91389361451682
2019,2020-09-13,10,0,29.05018873107591
2020,2020-01-21,6,0,20.56500505848539
2020,2020-03-12,5,0,16.590435317960743
2020,2020-07-17,3,0,10.185087761507425
2019,2020-12-05,7,0,23.896405251078363
2019,2020-07-31,7,0,23.83009022588193
2019,2020-10-05,7,0,43.006527764630384
2020,2020-08-28,3,0,9.623438296755472
2020,2020-09-20,2,0,7.388602618030254
2020,2020-10-15,3,0,9.869581048255073
2020,2020-09-25,4,0,11.682482169410648
2019,2020-03-14,8,0,25.549906020117763
2019,2020-03-18,6,0,21.517641787814355
2019,2020-04-19,9,0,31.803561409351314
2019,2020-06-17,7,0,23.549547530799117
2020,2020-01-11,8,0,23.751986688729247
2020,2020-04-27,1,0,5.366960098526365
2020,2020-06-02,2,0,7.465247307631039
2020,2020-06-20,2,0,8.568956555144467
2020,2020-08-08,3,0,9.955100249262468
2020,2020-06-14,2,0,7.41836598900278
2019,2020-03-25,7,0,23.105055035679264
2020,2020-04-26,1,0,4.3159447209905775
2020,2020-06-15,2,0,8.12253355312104
2020,2020-11-07,3,0,10.24812542596586
2019,2020-03-01,8,0,24.08691172975281
2019,2020-03-11,7,0,26.262781733535707
2019,2020-05-15,8,0,26.91463674004126
2019,2020-08-21,7,0,21.656700722884324
2020,2020-07-30,3,0,10.301257403721426
2020,2020-10-08,3,0,9.95279431718927
2019,2020-07-02,7,0,23.306346317515036
2019,2020-11-19,6,0,20.778940437845293
2019,2020-11-23,7,0,20.99784767536356
2020,2020-02-03,7,0,23.39424600433919
2020,2020-06-26,3,0,10.733059266832175
2020,2020-07-29,3,0,10.215856498845591
2020,2020-05-23,1,0,5.949938900336574
2019,2020-12-04,7,0,23.289085892544495
2019,2020-04-29,7,0,24.07378226067925
2019,2020-05-24,8,0,23.783166637306902
2019,2020-07-19,8,0,25.858275873019238
2019,2020-07-26,8,0,24.628156685850183
2019,2020-09-07,9,0,31.330966119042298
2019,2020-06-06,8,0,25.72967848272394
2019,2020-08-28,7,0,21.79202335548807
2019,2020-10-26,7,0,21.572711096988137
2020,2020-03-18,3,0,9.747132229602922
2020,2020-04-30,1,0,5.0107218642097155
2020,2020-05-03,1,0,5.137175819451502
2020,2020-11-18,3,0,8.612546610118894
2019,2020-03-20,8,0,25.358911239552086
2019,2020-06-29,8,0,24.023956516564645
2020,2020-06-23,3,0,9.6358569823517
2020,2020-08-19,3,0,9.427074180736339
2020,2020-09-06,2,0,8.551546367398078
2020,2020-10-28,3,0,9.23583947357309
2019,2020-09-02,5,0,17.669400878780408
2019,2020-07-12,8,0,27.505583489127897
2019,2020-04-04,8,0,25.391072964066392
2019,2020-06-15,7,0,22.698030830876434
2020,2020-03-09,6,0,20.12220567931223
2020,2020-08-10,3,0,9.578255676159092
2020,2020-03-06,7,0,20.91605768626836
2019,2020-08-01,7,0,23.55793897296205
2019,2020-10-31,7,0,20.78959862125091
2020,2020-02-20,7,0,22.8522871632239
2020,2020-06-03,2,0,7.5309563902492815
2020,2020-08-23,2,0,8.235433858747658
2020,2020-02-12,7,0,23.792084742707953
2019,2020-01-31,6,0,25.72452115616397
2019,2020-03-06,7,0,22.881266273199472
2020,2020-05-26,2,0,7.5080368745122374
2020,2020-07-16,3,0,9.98327041545653
2020,2020-09-09,3,0,10.010220797802317
2019,2020-07-13,7,0,23.713197332362494
2020,2020-03-31,1,0,5.193485267519496
2019,2020-02-26,7,0,23.396123240258497
2019,2020-08-13,6,0,21.805219417260485
2019,2020-11-20,6,0,21.274674517612056
2019,2020-12-01,4,0,14.914709072973773
2019,2020-12-13,8,0,24.676475355545705
2020,2020-04-20,1,0,5.098936923106713
2020,2020-08-03,3,0,10.132576910289643
2020,2020-10-17,3,0,10.57263873414464
2019,2020-05-08,8,0,27.502028505860924
2019,2020-02-27,7,0,23.600980574998168
2019,2020-07-28,5,0,17.953046620516417
