year,date,median,low,high
2020,2020-09-08,1,0,8.100394887843425
2020,2020-10-24,1,0,7.290215292489686
2019,2020-04-20,2,0,13.649788554044044
2019,2020-09-15,2,0,43.52384852943256
2019,2020-12-28,2,0,14.684958521298565
2020,2020-03-21,1,0,5.692259508969215
2019,2020-01-13,2,0,21.55140563515046
2019,2020-11-03,1,0,11.80331634174235
2020,2020-06-28,1,0,6.012581379293589
2020,2020-07-03,1,0,7.224726874216718
2020,2020-10-04,1,0,5.828419037660277
2020,2020-07-12,1,0,5.7328949818237405
2019,2020-03-28,3,0,19.630473984813545
2019,2020-04-06,2,0,13.967492811432885
2019,2020-12-06,3,0,17.272040216437883
2019,2020-06-13,2,0,14.940899718564609
2019,2020-08-06,2,0,15.229331637935124
2019,2020-11-22,2,0,15.565540234832547
2020,2020-05-04,1,0,6.3869014157299535
2020,2020-08-01,1,0,7.216693749358625
2020,2020-09-03,1,0,8.298398005787512
2020,2020-09-12,1,0,7.179676240864909
2020,2020-05-22,1,0,7.3017579098804015
2019,2020-01-08,4,0,29.87382052322119
2019,2020-01-16,3,0,19.922503877810144
2019,2020-06-07,3,0,18.157358620468642
2019,2020-12-24,2,0,15.414424498975007
2020,2020-07-15,1,0,8.078104442423296
2020,2020-09-05,1,0,7.05693177155637
2020,2020-11-19,1,0,7.188609892134143
2019,2020-01-07,4,0,28.97408164600279
2020,2020-03-08,1,0,9.307799440514401
2019,2020-05-30,3,0,17.93895601927655
2019,2020-05-03,3,0,19.922463136091242
2019,2020-06-19,3,0,17.750336546261234
2019,2020-12-14,2,0,13.48126497946522
2020,2020-06-07,1,0,5.794453169343615
2020,2020-07-23,1,0,7.983566569640331
2020,2020-10-20,1,0,8.019325130748122
2020,2020-11-06,1,0,7.685825514598208
2020,2020-11-01,1,0,5.864761204582827
2019,2020-09-10,3,0,57.72721995663086
2020,2020-08-07,1,0,8.452351381763247
2020,2020-08-29,1,0,6.425463400265522
2020,2020-05-18,1,0,6.831716167562204
2020,2020-07-11,1,0,6.754904781325287
2019,2020-02-12,2,0,17.74555963282428
2019,2020-07-09,2,0,16.21414510156646
2020,2020-01-18,2,0,11.673035527790995
2019,2020-08-09,2,0,15.483715500240509
2020,2020-07-13,1,0,7.956664356790612
2020,2020-08-12,1,0,7.810741745549596
2019,2020-02-17,2,0,12.45421086293161
2019,2020-03-26,2,0,24.04044116783993
2019,2020-05-10,3,0,20.087472980873255
2019,2020-10-07,3,0,21.391816867042234
2020,2020-11-11,1,0,7.356432414952705
2019,2020-02-18,2,0,14.948245233433813
2019,2020-08-29,3,0,19.026942785163783
2019,2020-11-24,1,0,9.385784730132164
2020,2020-01-12,2,0,12.228412565892958
2020,2020-03-27,1,0,6.744517867015218
2020,2020-07-18,1,0,6.592773697309273
2020,2020-08-22,1,0,6.9191297815866415
2020,2020-10-16,1,0,7.5335634562139875
2020,2020-05-20,1,0,7.1633200772919245
2019,2020-05-06,3,0,19.032652406527607
2019,2020-09-06,3,0,21.214645244841247
2019,2020-07-07,1,0,10.239002923888487
2020,2020-07-05,1,0,5.689541460633189
2020,2020-10-23,1,0,8.169194190716428
2019,2020-09-21,2,0,13.633013617170022
2020,2020-04-05,0,0,3.835147375266576
2019,2020-02-08,3,0,61.81777333755769
2019,2020-04-27,2,0,17.217588064888382
2019,2020-07-29,2,0,14.902560988200417
2019,2020-09-13,3,0,56.61349551986002
2020,2020-01-21,2,0,16.62136747256551
2020,2020-03-12,2,0,13.995349553221361
2020,2020-07-17,1,0,7.942315869417783
2019,2020-12-05,3,0,17.469727100722196
2019,2020-03-13,3,0,16.55237934647682
2019,2020-04-12,3,0,18.667449964790123
2019,2020-09-14,2,0,45.92629424305877
2019,2020-09-24,3,0,17.377665438629396
2019,2020-10-28,2,0,14.896470182450763
2019,2020-12-23,3,0,18.230791570311546
2019,2020-01-11,3,0,27.515468652755462
2020,2020-11-13,1,0,7.672058050401855
2019,2020-07-31,2,0,15.362459996469509
2019,2020-10-05,2,0,15.9132130356698
2020,2020-08-28,1,0,7.456293246001853
2020,2020-09-20,1,0,5.725549766997185
2020,2020-10-15,1,0,8.37166362445554
2020,2020-09-25,1,0,8.507591644683135
2019,2020-03-14,3,0,17.931709739053694
2019,2020-03-18,2,0,15.427528685915556
2019,2020-04-19,3,0,18.258345576248466
2019,2020-06-17,3,0,17.27673428945345
2020,2020-01-11,2,0,13.622383838895422
2020,2020-04-27,1,0,6.512454631848749
2020,2020-06-14,1,0,6.070160163653971
2020,2020-06-20,1,0,7.327340541533923
2020,2020-08-08,1,0,6.853601192088574
2020,2020-06-02,1,0,6.792867277338307
2019,2020-03-25,3,0,24.63373591570318
2019,2020-03-24,2,0,10.978553246198436
2019,2020-05-14,2,0,18.42916904637754
2019,2020-06-22,2,0,12.922591389370606
2020,2020-02-17,2,0,11.435777378584602
2020,2020-05-25,1,0,5.890261371578988
2020,2020-11-04,1,0,8.117033683596638
2020,2020-04-18,0,0,4.238157594776926
2020,2020-04-26,0,0,3.6204599121159986
2020,2020-06-15,1,0,7.531174782317085
2020,2020-11-07,1,0,6.734963976922252
2019,2020-03-01,3,0,17.48057027279599
2019,2020-03-11,3,0,17.995054862170782
2019,2020-05-15,3,0,19.69298610620916
2019,2020-08-21,2,0,14.461648349168323
2020,2020-07-30,1,0,8.09588448723225
2020,2020-10-08,1,0,8.099676589671247
2019,2020-07-02,2,0,15.995541169246849
2019,2020-11-19,2,0,15.59178009203672
2019,2020-11-23,2,0,12.390694994228047
2020,2020-02-03,3,0,19.25766756827807
2020,2020-06-26,1,0,8.22884527915177
2020,2020-07-29,1,0,8.225928919189016
2020,2020-05-23,1,0,5.895549317089227
2019,2020-12-04,2,0,16.111840531129936
2019,2020-05-24,3,0,17.779805470753537
2019,2020-07-19,3,0,17.285431829673257
2019,2020-04-29,3,0,20.41658149139242
2019,2020-07-26,3,0,16.234515918543053
2019,2020-09-07,2,0,15.708091390930274
2019,2020-05-02,3,0,19.72305062100309
2019,2020-07-17,2,0,15.705574517463438
2020,2020-06-09,1,0,7.751802783495748
2019,2020-05-31,3,0,18.264385879775823
2019,2020-06-06,3,0,18.166446518204744
2019,2020-08-28,2,0,17.35019702342615
2019,2020-10-26,2,0,12.092266794030284
2020,2020-03-18,1,0,9.358834469574834
2020,2020-04-30,1,0,6.017884510408504
2020,2020-05-03,0,0,4.331529422879645
2020,2020-11-18,1,0,6.914693966242024
2019,2020-03-20,3,0,17.795695013678404
2019,2020-06-29,2,0,12.689962729724938
2020,2020-06-23,1,0,7.907739080223182
2020,2020-08-19,1,0,7.5913629708820975
2020,2020-09-06,1,0,6.2086954057268535
2020,2020-10-28,1,0,7.631127331341639
2019,2020-09-02,2,0,12.929384370073983
2019,2020-07-12,3,0,17.333931057855217
2019,2020-04-04,3,0,18.539344519184173
2019,2020-06-15,2,0,13.538775695052744
2020,2020-03-09,2,0,14.61707409805513
2020,2020-08-10,1,0,7.780799583687051
