year,date,median,low,high
2019,2020-01-13,4.0,0,26.518015526515295
2019,2020-09-15,5.0,0,24.59751439612813
2020,2020-09-08,2.0,0,10.454000105557768
2020,2020-10-24,2.0,0,11.31351337581825
2019,2020-04-20,5.0,0,36.56929720860711
2019,2020-12-28,5.0,0,36.767687902464004
2020,2020-03-21,1.0,0,6.017450730646158
2019,2020-04-06,6.0,0,34.01416744185546
2019,2020-12-06,6.0,0,36.0256881459095
2019,2020-01-07,8.0,0,46.856771303300754
2019,2020-01-16,6.0,0,31.49915998717549
2019,2020-05-30,6.0,0,33.94971965711161
2019,2020-12-24,5.0,0,26.164565384969006
2020,2020-03-08,3.0,0,18.475616778316542
2020,2020-09-05,2.0,0,10.811476686202653
2020,2020-11-19,2.0,0,9.988683483500033
2019,2020-06-07,7.0,0,34.78616739887178
2020,2020-07-15,2.0,0,10.299093406245515
2020,2020-01-18,4.0,0,27.50896879902407
2020,2020-05-18,1.0,0,7.180888156408999
2020,2020-07-11,1.0,0,8.307321865766088
2020,2020-08-07,2.0,0,10.570700429474718
2020,2020-08-29,2.0,0,9.191025898952603
2019,2020-02-12,5.0,0,28.757165599074316
2019,2020-07-09,5.0,0,29.89352999646759
2019,2020-09-10,6.0,0,36.669026077560446
2019,2020-02-18,4.0,0,25.7969039772485
2019,2020-08-29,6.0,0,31.664722709914454
2019,2020-09-06,7.0,0,36.12825209343812
2019,2020-11-24,3.0,0,20.592112958818262
2020,2020-01-12,4.0,0,28.205299509786705
2020,2020-03-27,1.0,0,6.948495480927629
2020,2020-05-20,1.0,0,7.28258849800843
2020,2020-10-16,2.0,0,10.46888983552529
2019,2020-05-06,6.0,0,34.57107689673929
2020,2020-07-18,2.0,0,9.333741751511862
2020,2020-08-22,2.0,0,10.011140013927712
2019,2020-07-29,5.0,0,28.76460097159898
2019,2020-12-05,6.0,0,36.57493241487522
2020,2020-01-21,5.0,0,28.75229704106611
2019,2020-02-08,6.0,0,40.28239284428637
2019,2020-04-27,6.0,0,39.63258640295714
2019,2020-09-13,7.0,0,36.58975323128814
2020,2020-03-12,4.0,0,22.07271737813179
2020,2020-07-17,2.0,0,10.327539067199869
2019,2020-07-31,5.0,0,30.846501910986472
2019,2020-10-05,5.0,0,48.02069259459536
2020,2020-08-28,2.0,0,9.968773433015308
2020,2020-09-20,1.0,0,7.903240136310464
2020,2020-10-15,2.0,0,11.182291441927186
2020,2020-09-25,3.0,0,12.446448899705475
2019,2020-03-24,4.0,0,26.967927540354864
2019,2020-05-14,6.0,0,33.853631191993074
2019,2020-06-22,5.0,0,27.569183964875773
2020,2020-02-17,4.0,0,23.77797339938466
2020,2020-04-18,0.0,0,4.966143586918582
2020,2020-05-25,1.0,0,6.483665880800842
2020,2020-11-04,2.0,0,63.57127569473178
2019,2020-03-11,6.0,0,37.03783218592426
2019,2020-05-15,7.0,0,37.22366319267838
2020,2020-10-08,3.0,0,12.440484359547051
2019,2020-08-21,5.0,0,27.966063309123633
2019,2020-03-01,6.0,0,31.53863875139358
2020,2020-07-30,2.0,0,10.488984616480945
2019,2020-04-29,6.0,0,38.08568446836418
2019,2020-07-19,6.0,0,32.334793798698584
2019,2020-09-07,6.0,0,33.771183994919475
2019,2020-05-24,6.0,0,31.860733110320297
2019,2020-07-26,6.0,0,32.70970561406423
2019,2020-08-28,5.0,0,29.7863868567645
2019,2020-10-26,5.0,0,27.623514440451284
2020,2020-03-18,2.0,0,11.33073280419264
2020,2020-04-30,1.0,0,6.008028365330766
2020,2020-05-03,1.0,0,5.777484958611607
2020,2020-11-18,2.0,0,9.817593383348246
2019,2020-06-06,6.0,0,33.98359132843828
2019,2020-04-04,6.0,0,35.64585242093732
2019,2020-06-15,5.0,0,30.00563076624165
2020,2020-03-06,5.0,0,28.53662307750333
2020,2020-08-10,2.0,0,9.987403514269495
2020,2020-03-09,5.0,0,27.504837805434803
2019,2020-08-13,5.0,0,28.651451122374294
2019,2020-11-20,5.0,0,31.48071208279072
2019,2020-12-01,3.0,0,23.334422521011465
2019,2020-12-13,6.0,0,37.87345309708478
2020,2020-08-03,2.0,0,10.7163301596889
2020,2020-10-17,2.0,0,12.028807473955574
2020,2020-04-20,1.0,0,5.877854872918864
2019,2020-02-26,5.0,0,30.74176808162966
2019,2020-05-08,6.0,0,36.102067278133184
2019,2020-06-26,6.0,0,32.426902031715386
2019,2020-11-30,4.0,0,29.17804911274549
2020,2020-02-10,5.0,0,30.94903882459011
2020,2020-06-04,1.0,0,7.603404105077418
2019,2020-03-30,6.0,0,34.13597231515256
2019,2020-08-23,5.0,0,32.47389740572092
2019,2020-12-17,5.0,0,31.000850002100115
2019,2020-10-10,5.0,0,30.61582251926388
2019,2020-11-28,3.0,0,20.08772532811341
2020,2020-10-09,3.0,0,12.88412190165978
2019,2020-07-28,4.0,0,22.213594529553735
2020,2020-03-10,4.0,0,25.368783927090245
2019,2020-02-27,5.0,0,30.877631768094442
2020,2020-08-17,2.0,0,9.942627804978242
2019,2020-09-01,4.0,0,24.23283092137379
2020,2020-01-19,4.0,0,23.677788019558086
2020,2020-01-25,4.0,0,26.56807548847628
2020,2020-03-24,1.0,0,7.270550194881148
2020,2020-10-13,2.0,0,10.439524334982668
2019,2020-10-18,6.0,0,32.20404965134597
2020,2020-11-20,2.0,0,10.64573233900842
2019,2020-09-20,7.0,0,36.08699292110624
2019,2020-11-18,5.0,0,29.980370187437895
2020,2020-05-31,1.0,0,6.649735857188058
2020,2020-11-25,2.0,0,9.537543466527548
2019,2020-04-28,4.0,0,32.87157984424971
2019,2020-05-19,4.0,0,22.448425787602293
2019,2020-08-27,6.0,0,30.663119413268888
2020,2020-09-16,2.0,0,10.883808369207898
2019,2020-02-11,5.0,0,29.70951523379882
2020,2020-01-05,4.0,0,22.39068952105127
2020,2020-01-26,4.0,0,22.675237609053408
2020,2020-03-07,4.0,0,23.33870061067727
2020,2020-07-08,2.0,0,9.259517742495781
2020,2020-06-17,2.0,0,9.17810362463348
2019,2020-04-08,6.0,0,35.17523614041889
2019,2020-12-03,5.0,0,31.585876750668394
2020,2020-01-09,6.0,0,35.222038190307785
2020,2020-01-24,6.0,0,32.536162657509585
2019,2020-02-24,3.0,0,18.570355731359445
2020,2020-01-13,5.0,0,38.500694306218044
2020,2020-02-22,5.0,0,26.439004383857274
2020,2020-02-23,4.0,0,22.380184680894363
2019,2020-08-19,5.0,0,27.039027555217032
2019,2020-09-27,6.0,0,32.43661325687442
2019,2020-12-18,5.0,0,34.237982379972024
2019,2020-02-01,6.0,0,63.80646288988555
2019,2020-02-20,5.0,0,30.764398475653724
2020,2020-03-04,5.0,0,27.83631273115667
2020,2020-10-02,2.0,0,10.768428156217556
2019,2020-09-26,6.0,0,32.12364176518942
2019,2020-02-28,5.0,0,31.130467118354574
2020,2020-05-13,1.0,0,7.052279601300769
2020,2020-05-14,1.0,0,7.015985921809364
2019,2020-06-03,6.0,0,32.70770570759255
2019,2020-06-05,6.0,0,33.41580538074298
2019,2020-05-16,7.0,0,37.480804073836154
2019,2020-05-27,4.0,0,22.61994334457288
2019,2020-07-05,5.0,0,28.6466128229235
2020,2020-02-21,5.0,0,28.787957195646268
2020,2020-05-01,1.0,0,6.60510024642698
2020,2020-05-05,1.0,0,6.995715887366326
2019,2020-11-02,5.0,0,28.285639223254062
2019,2020-06-21,7.0,0,34.675894147584856
2019,2020-07-04,3.0,0,22.01728432862126
2019,2020-09-04,6.0,0,34.8161441551281
2019,2020-11-11,5.0,0,28.238063670523935
2019,2020-12-10,5.0,0,32.507189759898566
2020,2020-05-10,1.0,0,6.0982011274440575
2020,2020-06-05,1.0,0,8.03323259140016
2020,2020-09-30,2.0,0,10.677786837274276
2020,2020-11-03,2.0,0,11.005982560119225
2019,2020-09-28,5.0,0,25.52162791244172
2020,2020-05-15,1.0,0,7.532252086405203
2019,2020-01-09,12.0,0,62.68980750070747
2019,2020-06-10,5.0,0,30.511596756896473
2019,2020-12-11,5.0,0,35.06403410860001
2020,2020-03-29,0.0,0,4.623884312899289
2020,2020-07-10,2.0,0,8.777449984875684
2019,2020-08-11,4.0,0,23.599188290067108
2020,2020-09-27,2.0,0,9.666187459864693
2019,2020-01-19,5.0,0,26.491749576680082
2019,2020-05-17,7.0,0,37.6845322393785
2020,2020-02-13,5.0,0,30.586551004001812
