year,date,median,low,high
2019,2020-11-03,3,0,15.56839796857691
2020,2020-06-28,1,0,9.439240870265243
2020,2020-07-03,2,0,13.482119173944154
2020,2020-10-04,1,0,9.210049618180651
2020,2020-07-12,1,0,9.320170455558243
2019,2020-03-28,4,0,20.219841465455186
2019,2020-06-13,3,0,16.604243573297854
2019,2020-08-06,4,0,16.362798135134483
2019,2020-11-22,4,0,17.53194014416053
2020,2020-05-04,2,0,9.77276670398426
2020,2020-08-01,2,0,10.961415970139708
2020,2020-09-03,2,0,11.369230102740094
2020,2020-09-12,2,0,11.158195244360185
2020,2020-05-22,2,0,10.851566626220292
2019,2020-01-08,6,0,33.214750317040135
2019,2020-05-03,5,0,22.098451420513914
2019,2020-06-19,4,0,17.374492893907064
2019,2020-12-14,3,0,16.513521335368303
2020,2020-06-07,1,0,9.301520220718801
2020,2020-07-23,2,0,10.76510470112388
2020,2020-10-20,2,0,10.716726770422671
2020,2020-11-06,2,0,10.323489770483807
2020,2020-11-01,1,0,9.171554085651358
2019,2020-08-09,4,0,16.92622879203335
2020,2020-07-13,2,0,10.923561766564498
2020,2020-08-12,2,0,10.474619970147893
2019,2020-02-17,3,0,15.506212166749473
2019,2020-03-26,4,0,19.92173850591943
2019,2020-05-10,5,0,22.448025056910232
2019,2020-10-07,3,0,20.021072067632044
2020,2020-11-11,2,0,9.78873235339157
2019,2020-07-07,2,0,13.533476630945506
2020,2020-07-05,1,0,8.254921058196398
2020,2020-10-23,2,0,10.955706132927268
2019,2020-09-21,3,0,16.13455126814496
2020,2020-04-05,1,0,8.238461063712887
2019,2020-03-13,3,0,19.362205884025492
2019,2020-04-12,4,0,20.19898395351142
2019,2020-09-14,4,0,25.2224462877411
2019,2020-09-24,4,0,19.54621031537274
2019,2020-10-28,4,0,18.56544061799761
2019,2020-12-23,4,0,21.302541605698195
2019,2020-01-11,4,0,20.663710952826612
2020,2020-11-13,2,0,10.582045526328955
2019,2020-03-14,4,0,20.858254750662283
2019,2020-03-18,3,0,19.234487245964264
2019,2020-04-19,5,0,21.79877310192874
2019,2020-06-17,4,0,17.599960016873133
2020,2020-01-11,4,0,19.301911171296734
2020,2020-04-27,1,0,8.278551515071928
2020,2020-06-02,2,0,10.147467819185515
2020,2020-06-20,2,0,12.020063639719172
2020,2020-08-08,2,0,11.197165665615284
2020,2020-06-14,1,0,8.991433363049529
